rx_spreadFactor,rx_rssi,rx_loRaSNR,power,location,distance
9,-96.2,11.459999999999999,6,2,79.56452940686118
10,-82.25,11.275,7,2,79.56452940686118
10,-101.0,10.0,7,2,756.0790687380501
7,-87.75,9.175,7,2,79.56452940686118
7,-103.0,8.0,7,2,756.0790687380501
8,-89.0,11.0,7,2,79.56452940686118
8,-101.5,9.75,7,2,756.0790687380501
9,-88.4,12.319999999999999,7,2,79.56452940686118
10,-78.5,10.575,8,2,79.56452940686118
10,-106.0,7.0,8,2,756.0790687380501
7,-88.0,9.5,8,2,79.56452940686118
7,-99.0,8.2,8,2,756.0790687380501
8,-86.0,11.0,8,2,79.56452940686118
8,-95.0,2.3000000000000003,8,2,756.0790687380501
9,-82.75,11.75,8,2,79.56452940686118
9,-102.0,9.8,8,2,756.0790687380501
10,-80.8,9.26,9,2,79.56452940686118
7,-81.75,9.375,9,2,79.56452940686118
7,-99.0,-4.5,9,2,756.0790687380501
8,-79.6,10.84,9,2,79.56452940686118
9,-82.4,9.76,9,52,79.56452940686118
10,-88.33333333333333,9.866666666666667,10,52,301.78623399605846
10,-97.0,11.2,10,52,585.4788297002594
10,-111.0,-6.2,10,52,444.85695871653746
7,-91.8,9.3,10,52,301.78623399605846
8,-95.0,10.733333333333334,10,52,301.78623399605846
8,-100.0,9.85,10,52,585.4788297002594
9,-90.0,10.933333333333332,10,52,301.78623399605846
9,-97.0,9.8,10,52,585.4788297002594
10,-92.0,11.040000000000001,11,52,301.78623399605846
7,-88.6,9.24,11,52,301.78623399605846
8,-94.75,11.225000000000001,11,52,301.78623399605846
8,-102.0,9.0,11,52,585.4788297002594
9,-94.0,11.1,11,52,301.78623399605846
9,-98.5,9.5,11,52,585.4788297002594
10,-93.0,10.066666666666666,12,52,301.78623399605846
10,-99.0,9.35,12,52,585.4788297002594
7,-94.0,9.3,12,52,301.78623399605846
7,-99.0,7.633333333333333,12,52,585.4788297002594
8,-92.75,10.675,12,52,301.78623399605846
8,-97.0,10.0,12,52,585.4788297002594
9,-89.5,11.375,12,52,301.78623399605846
9,-113.0,2.5,12,52,585.4788297002594
10,-85.2,10.52,13,52,301.78623399605846
7,-91.5,9.2,13,52,301.78623399605846
7,-97.0,8.2,13,52,585.4788297002594
8,-93.75,10.5,13,52,301.78623399605846
8,-96.0,10.5,13,52,585.4788297002594
9,-86.0,12.200000000000001,13,52,301.78623399605846
9,-93.0,10.5,13,52,585.4788297002594
10,-87.2,10.34,14,52,301.78623399605846
7,-90.0,9.459999999999999,14,52,301.78623399605846
8,-92.75,10.475,14,52,301.78623399605846
8,-94.0,9.8,14,52,585.4788297002594
9,-95.33333333333333,11.6,14,52,301.78623399605846
9,-96.0,12.0,14,52,585.4788297002594
10,-87.66666666666667,10.066666666666666,15,52,301.78623399605846
10,-92.0,10.3,15,52,585.4788297002594
7,-85.0,8.933333333333334,15,52,301.78623399605846
7,-100.0,9.25,15,52,585.4788297002594
8,-90.5,9.8,15,52,301.78623399605846
8,-96.0,10.166666666666666,15,52,585.4788297002594
9,-88.0,12.0,15,52,301.78623399605846
9,-99.0,11.733333333333334,15,52,585.4788297002594
10,-89.0,11.1,16,52,301.78623399605846
10,-90.33333333333333,10.433333333333334,16,52,585.4788297002594
7,-90.0,9.425,16,52,301.78623399605846
7,-91.0,8.8,16,52,585.4788297002594
8,-91.4,10.62,16,52,301.78623399605846
9,-90.0,11.680000000000001,16,52,301.78623399605846
10,-84.0,11.025,17,52,301.78623399605846
10,-88.0,8.2,17,52,585.4788297002594
7,-86.0,9.9,17,52,301.78623399605846
8,-90.0,10.766666666666666,17,52,301.78623399605846
8,-92.0,10.85,17,52,585.4788297002594
9,-88.5,11.2,17,52,301.78623399605846
9,-93.0,-5.0,17,52,585.4788297002594
10,-85.5,9.45,18,52,301.78623399605846
10,-94.0,9.8,18,52,585.4788297002594
7,-94.6,9.280000000000001,18,52,301.78623399605846
8,-89.0,10.959999999999999,18,52,301.78623399605846
9,-89.0,11.66,18,52,301.78623399605846
10,-86.0,10.933333333333332,19,52,301.78623399605846
10,-82.0,10.1,19,52,585.4788297002594
7,-89.8,9.38,19,52,585.4788297002594
8,-84.75,11.099999999999998,19,52,301.78623399605846
8,-89.0,9.8,19,52,585.4788297002594
9,-88.0,12.2,19,52,301.78623399605846
10,-98.6,9.1,1,52,301.78623399605846
7,-102.75,8.2,1,52,301.78623399605846
7,-103.0,8.5,1,52,585.4788297002594
8,-104.6,9.3,1,52,301.78623399605846
9,-104.0,8.9,1,52,301.78623399605846
9,-104.0,8.9,1,52,585.4788297002594
10,-84.5,7.5,20,52,301.78623399605846
10,-84.0,9.933333333333334,20,52,585.4788297002594
7,-87.0,9.833333333333334,20,52,301.78623399605846
7,-90.0,10.5,20,52,585.4788297002594
8,-85.25,11.100000000000001,20,52,301.78623399605846
8,-87.0,11.2,20,52,585.4788297002594
9,-86.0,11.833333333333334,20,52,301.78623399605846
